"Created Date","Changed Date",Name,Description,Keywords,Reference,Visible,Private,Schedule,Labels,"Marker Feeds",Category,"Marker Instance ID","Category ID","Marker ID",Latitude,Longitude
"2012-10-06 13:47:00","2017-06-05 22:19:27","Clare Small Arts and Sciences","The Clare Small Arts and Sciences Building houses the Department of Integrative Physiology and the CU Museum Herbarium (located in the basement) which houses nearly 500,000 plant specimens collected from mountain and high desert habitats worldwide. Address 1725 Pleasant Street Nearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes:209/209GHopStampedeDepartments Department of Integrative PhysiologyArts and Sciences",,,1,0,,,,"Performance & Museum Venues",22634,2733,15095,40.010502,-105.270035
"2016-07-11 22:42:26","2017-01-30 20:59:37","Render boundary 1",,,,1,0,,,,"Render Boundary",154748,17144,108650,40.006931,-105.268036
"2016-07-11 22:42:33","2017-01-12 18:21:59","render boundary 2",,,,1,0,,,,"Render Boundary",154749,17144,108651,39.996586,-105.248840
"2016-07-11 22:45:20","2017-01-30 20:59:48","render boundary 4",,,,1,0,,,,"Render Boundary",154751,17144,108653,40.012749,-105.246529
"2016-11-04 16:59:13","2017-01-23 21:16:18","How-to Videos","Help and How-to'sHere are the links I had promised from our call :)How to create Categories and Locations:https://www.youtube.com/watch?v=gvQc3u-rU7wCMS Training Tutorials:https://www.youtube.com/watch?v=MQRpD5PAXCo&amp;list=PL3-fL8vepqx2ezyvSp1HNdUx8Gg46_piqPlease do subscribe to our channel for other videos as well.Below is a link for other FAQ's and Help tutorials/Info:http://help.myatlascms.com/Also here are a couple links for you to use when creating a tour or to use for future reference.Creating a Tour #1https://www.youtube.com/watch?v=7o_n6o69zSsCreating a Tour #2https://www.youtube.com/watch?v=ZFTiiyexqnEHere are the steps to notate a needed revision:Log into the CMSClick on the New Location ButtonMark the revision area with either a marker pin, polygon, path, etc.Detail the needed revision in the description entry boxChoose the Render Revision category in which to nest this locationSave and publish the changesView a video sample of this processTo Access all other Training Videos:https://www.youtube.com/user/campusbirdIf you have any more questions, interests, comments or ideas please do feel free to reach out at anytime! I will also have this info within the map to reference as well!",,,1,0,,,,CampusBird,186727,19271,126498,40.000103,-105.273102
"2017-03-31 18:00:35","2017-06-29 21:48:11","Aden Hall","Aden Hall, located centrally on camus as part of the Quadrangle Community. Participation in the Engineering Living &amp; Learning Community is mandatory for students who request and are assigned to Aden Hall. Primarily freshmen majoring in engineering and applied sciences live here. Address2320 Libby DriveNearest bus stopLocation: corner of Colorado Ave &amp; Folsom St. Routes: 209209GStampede","ADEN,Engineering,Engineering Quad,dorm",,1,0,,,,Housing,193791,20810,136154,40.006878,-105.265404
"2017-03-31 18:00:38","2017-06-29 15:56:25","Administrative and Research Center","The Administrative and Research Center is home to many essential campus functions including Human Resources, Research Computing, Office of Contract and Grants, and Strategic Relations. The building is walking distance to shopping and restaurants, a Boulder Creek walking/biking path with access to the Scott Carpenter park, and on-site permit parking lots with access to both Buff Bus and Stampede bus routes to Main Campus.Address3100 Marine Street  Nearest bus stop Route: StampedeDepartmentsAdmissions OperationsFinancial Aid OperationsContract and GrantsControllers officeHuman ResourcesHousing ITOffice of Data AnalyticsStrategic RelationsSleep Study Lab","ARCE,Strategic relations,HR,research,OCG,sleep lab,housing IT",,1,0,,,,"Administrative Offices",193792,20986,136155,40.013329,-105.251907
"2017-03-31 18:00:42","2017-06-29 15:57:14","Andrews Hall","Andrews Hall is part of the Kittredge Neighborhood on the southeast edge of campus. A renovated hall, it houses approximately 200 engineering students and is home to the Engineering Honors Program. Acceptance to and participation in one of these programs is mandatory for all residents. Freshmen through seniors majoring in engineering live here. Head to nearby Kittredge Central to visit the Kittredge Market.Address2510 Kittredge Loop Dr","ANDS,Dorm,engineering honors,engineering",,1,0,,,,Housing,193793,20810,136156,40.003201,-105.262100
"2017-03-31 18:00:46","2017-06-29 15:57:28",Armory,"The Armory is home to the College of Media, Communication, and Information. Address1511 University AvenueNearest bus stopLocation:Broadway &amp; University AveRoutes: 204225/225D/225EDashSkip","ARMR,Advertising,media studies,communication,information sciences,journalism,",,1,0,,,,"Academic & Research",193794,2732,136157,40.010826,-105.273911
"2017-03-31 18:00:51","2017-05-12 15:39:34","Armory Computer Lab Rm 201","Armory Building Rm 201. Mac OS X Lab. 22 computers.   Address  1511 University Avenue  Nearest bus stopLocation: Broadway &amp; University Ave Routes:204225/225D/225EDashSkip","ARMR 201",,1,0,,,,"Computer labs",193795,21001,136158,40.010860,-105.273895
